0,0,0,0,0,-4.63382870860155,-2.48005046033938,-4.29186955210225,0,0,-3.08987859462222,-4.21492516843485,0,0,0,0,-2.53806364663372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12012123678969,0,0,0,2.77323121064698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31157088260762,-3.15098178257208,0,0,0,-2.53831872588939,-3.15532057804045,0,0,0,-3.24838376364273,-4.37836459804655,0,0,0,0,0,0,-2.27729743397985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54815014924363,0,0,0,0,0,0,0,0,0,0,0,3.54115047796256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06624825038691,0,0,0,0,0,0,0,2.64550542522713,2.96415208098682,0,0,0,0,0,0,4.31339264920308,0,0,0,0,0,0,3.57089261054907,2.59126129558088,2.42614549477093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-2.88342038467999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80691229133373,3.0437177950886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69929488507894,0
0,0,0,0,0,-2.68241613470178,0,-2.97518690045121,0,0,0,-3.36504463206764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64652368976781,-2.46368798544984,0,0,0,0,-3.87775162467229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59373629111262,0,0,0,0,0,2.98354145249709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10070531995884,0,0,0,0,0,0,2.79084874230256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16105878818977,0,0,-3.20028067585787,0,0,0,0,0,0,-3.14169127562359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09164380497059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00156774971219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.63382870860155,0,0,-2.68241613470178,0,0,0,-2.48017933535203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16876202010911,0,0,0,0,0,2.49608031740404,3.17433143811649,0,0,0,2.75661453925605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84816379307165,-3.12457311011435,-3.83309935517286,0,-2.90020946551234,-2.63707718333164,-2.39157530191479,0,0,0,0,-2.95979667526131,0,0,0,0,0,0,-2.17257518048339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44956022174813,0,0,0,2.83612448017391,0,0,0,0,0,0,0,0,0,0,3.22357016937875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-2.74275620515535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28365160339066,0,0,0,0,3.13949247647154,2.46148579751733,4.05806833028222,0,3.30315064976291,3.81903639653196,3.14673518143853,2.83645313037366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94667011786168,2.78583309282274,0,0,0,0,0,-2.81562446000907,0,0,0,0,0,0,0,0,0,-2.25878909035965,-2.33602995420782,0,0,0,0,0,0,0,0,0,0,0,0,3.35896478289377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92800905134709,0,0,0,0,0,0,0,0,0,0,0,0,3.61939127440325,0,0,3.24201624131857,2.79097179424202,0,0,3.1305546592302,3.78963435469307,2.92186258050971,2.98909275689607,3.91962344312918,3.1702413459344,0,3.5244201775299,4.7129368601209,0,0,0,3.57845815538511,0,0,0,0,0,0,0,0,3.46644932350449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40273117312835,0,0
-4.29186955210225,0,0,-2.97518690045121,0,0,-2.74275620515535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16974014709292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14629845813051,0,0,0,0,2.74790148850406,0,0,0,0,0,-3.7542795151332,0,-3.51445080487752,0,0,-3.23886859009313,-3.72404939932544,0,0,0,-3.0950847713258,-3.13592617371996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8305916653157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03861329734626,0,0,2.51709086450953,2.4616049443619,0,2.4317005305729,2.84013457931916,0,0,0,3.57342814372372,0,0,2.19504050281352,0,0,0,0,0,3.00157397775473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41556200735043,2.26349851783991,2.4277201188624,2.17268242842052,0,0,0,0,0,0,0,0,0,0,0,0,2.47633014128977,3.24610406792678,2.44961608620399,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85881095548934,0,0,0,2.72191304832834,0,0,0,0,0,0,0,0,0,0,3.37834413515873,0,0,0,0,0,0,3.33709504491982,0,0,0,3.44376046087428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05795593922608,0,0,3.64450718787018,3.52593537878406,3.34969010966454,0,2.88465791507941,3.57499523711714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94930604710724,2.82737609620323,0,0,0,0,0,0,0,-3.02044635296405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36729061118759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6647978738144,0,0,0,0,0,0,0,2.95405097131675,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54327370161593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2869311582509,-2.6100952607629,-2.95655856726085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21499317462567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30231977758791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54731469660621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63228108107725,2.46980228498513,0
